Tax to GDP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Germany,35.0,35.7,36.4,36.8,36.7,37.0,37.4,37.8,38.4,38.6,38.3
Australia,25.6,26.3,27.1,27.3,27.3,27.9,27.6,28.5,28.5,27.7,
Austria,40.8,41.0,42.0,42.8,42.7,43.1,41.9,41.8,42.3,42.6,42.1
Belgium,42.6,43.1,44.2,45.2,45.1,44.8,43.9,43.8,43.9,42.7,43.1
Canada,30.6,30.5,31.0,30.9,31.3,32.7,33.2,33.1,33.5,33.8,34.4
Chile,19.7,21.2,21.3,19.9,19.6,20.4,20.1,20.2,21.1,20.9,19.3
Colombia,18.1,,,20.0,,19.9,,19.0,19.3,19.7,18.7
Korea,23.4,24.2,24.8,24.3,24.6,25.2,26.2,25.4,26.7,27.3,28.0
Costa Rica,22.1,,,23.0,,22.9,,,23.2,23.6,22.9
Denmark,45.1,45.1,45.5,45.9,48.5,46.1,45.7,45.8,44.2,46.6,46.5
Slovenia,36.9,36.5,36.9,36.7,36.2,36.4,36.5,37.1,37.3,37.2,36.9
Spain,31.5,31.4,32.2,33.1,33.6,33.6,33.3,33.9,34.7,34.7,36.6
United States,23.5,23.9,24.1,25.7,26.0,26.2,25.9,26.7,24.9,25.0,25.5
Estonia,33.2,31.5,31.7,31.7,32.3,33.3,33.5,32.5,33.0,33.5,34.5
Finland,40.8,42.0,42.7,43.6,43.8,43.9,44.0,42.9,42.4,42.3,41.9
France,42.0,43.2,44.3,45.2,45.4,45.3,45.4,46.1,45.9,44.9,45.4
Greece,32.2,33.7,35.5,35.5,35.7,36.6,38.7,38.6,40.0,39.5,38.8
Netherlands,36.1,35.9,36.0,36.5,37.0,37.0,38.4,38.7,38.8,39.3,39.7
Hungary,37.5,36.5,38.5,38.1,38.0,38.7,39.1,38.3,36.8,36.5,35.7
Ireland,27.1,27.1,27.5,28.2,28.4,23.1,23.4,22.8,22.4,21.9,20.2
Iceland,33.4,34.5,35.2,35.8,38.3,36.3,50.8,37.6,36.4,34.8,36.1
Israel,30.5,30.8,30.0,30.7,31.2,31.3,31.1,32.5,30.8,30.2,29.7
Italy,41.9,41.9,43.9,44.1,43.5,43.1,42.3,41.9,41.7,42.4,42.9
Japan,27.6,28.6,28.2,28.9,30.3,30.6,30.7,31.4,31.6,31.4,
Latvia,28.1,27.8,28.4,28.5,29.0,29.2,31.2,31.4,31.1,31.2,31.9
Lithuania,28.3,,27.0,26.8,27.5,28.9,29.7,29.5,30.2,30.3,31.2
Luxemburg,38.0,37.9,38.4,38.2,37.4,37.1,37.9,37.6,39.5,38.9,38.3
Mexico,14.1,14.0,13.1,13.8,13.7,15.9,16.6,16.1,16.1,16.3,17.9
Norway,41.9,42.1,41.5,39.9,38.8,38.4,38.7,38.8,39.4,39.9,38.6
New Zealand,30.3,30.4,32.1,31.1,31.2,31.6,31.7,31.6,32.2,31.5,32.2
Poland,31.1,31.6,32.1,31.9,31.9,32.4,33.5,34.1,35.1,35.1,36.0
Portugal,30.4,32.3,31.8,34.1,34.3,34.4,34.1,34.1,34.7,34.5,34.8
United Kingdom,32.5,33.4,32.8,32.6,31.8,32.2,32.7,32.8,32.9,32.7,32.8
Czech Republic,32.5,33.3,33.7,34.1,33.1,33.3,34.2,34.4,35.0,34.8,34.4
Slovakia,28.1,28.6,28.3,30.2,31.1,32.2,32.3,34.2,34.2,34.6,34.8
Sweden,43.2,42.5,42.6,42.9,42.6,43.1,44.2,44.3,43.8,42.8,42.6
Switzerland,26.5,27.0,26.8,26.9,26.9,27.6,27.7,28.4,26.8,27.4,27.6
Turkey,26.2,27.8,24.9,25.3,24.6,25.1,25.3,24.7,24.0,23.1,23.9
Total (1),32.6,33.0,33.3,33.6,33.6,33.7,34.4,33.7,33.5,33.4,33.5
