Presion Fiscal,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Germany,35.01,35.7,36.39,36.76,36.7,36.99,37.42,37.79,38.43,38.62,38.33
Australia,25.6,26.27,27.12,27.33,27.32,27.92,27.6,28.5,28.53,27.67,
Austria,40.83,41.02,41.97,42.82,42.71,43.1,41.91,41.76,42.25,42.56,42.13
Belgium,42.62,43.14,44.18,45.16,45.07,44.81,43.88,43.8,43.87,42.7,43.07
Canada,30.65,30.54,30.99,30.86,31.34,32.68,33.17,33.11,33.51,33.81,34.39
Chile,19.68,21.24,21.33,19.86,19.61,20.38,20.14,20.16,21.13,20.89,19.32
Colombia,18.1,,,20.02,,19.9,,18.98,19.27,19.7,18.72
Korea,23.39,24.16,24.78,24.3,24.59,25.16,26.24,25.36,26.69,27.3,27.98
Costa Rica,22.13,,,22.98,,22.95,,,23.19,23.58,22.89
Denmark,45.06,45.12,45.51,45.89,48.53,46.13,45.69,45.85,44.18,46.6,46.54
Slovenia,36.9,36.48,36.87,36.75,36.19,36.35,36.51,37.13,37.27,37.17,36.85
Spain,31.52,31.45,32.24,33.13,33.59,33.59,33.29,33.87,34.66,34.68,36.62
United States,23.49,23.9,24.07,25.65,25.98,26.24,25.87,26.74,24.89,24.97,25.54
Estonia,33.25,31.51,31.67,31.7,32.27,33.31,33.54,32.52,33.05,33.53,34.51
Finland,40.79,42.03,42.68,43.62,43.81,43.93,44.02,42.93,42.39,42.25,41.91
France,41.97,43.16,44.32,45.23,45.45,45.28,45.37,46.07,45.88,44.89,45.43
Greece,32.24,33.7,35.5,35.46,35.74,36.58,38.7,38.62,40.0,39.48,38.78
Netherlands,36.09,35.85,36.02,36.54,37.05,37.01,38.4,38.7,38.8,39.26,39.68
Hungary,37.5,36.47,38.53,38.07,37.98,38.71,39.15,38.28,36.82,36.46,35.68
Ireland,27.1,27.08,27.49,28.17,28.41,23.11,23.36,22.76,22.35,21.9,20.2
Iceland,33.39,34.46,35.22,35.75,38.32,36.33,50.81,37.56,36.45,34.84,36.09
Israel,30.54,30.77,29.99,30.72,31.15,31.31,31.11,32.54,30.8,30.21,29.73
Italy,41.86,41.91,43.9,44.05,43.47,43.11,42.31,41.91,41.73,42.42,42.91
Japan,27.57,28.61,28.22,28.85,30.26,30.63,30.73,31.38,31.55,31.41,
Latvia,28.11,27.77,28.39,28.5,28.98,29.22,31.2,31.39,31.14,31.24,31.91
Lithuania,28.29,,26.97,26.75,27.49,28.88,29.69,29.47,30.23,30.28,31.25
Luxemburg,38.01,37.86,38.39,38.23,37.45,37.09,37.94,37.61,39.47,38.95,38.27
Mexico,14.12,14.03,13.12,13.75,13.7,15.93,16.62,16.1,16.15,16.35,17.93
Norway,41.95,42.08,41.51,39.92,38.79,38.43,38.71,38.78,39.37,39.91,38.61
New Zealand,30.27,30.45,32.06,31.12,31.22,31.57,31.68,31.6,32.17,31.46,32.18
Poland,31.14,31.63,32.08,31.94,31.88,32.37,33.54,34.12,35.14,35.11,35.98
Portugal,30.4,32.33,31.78,34.07,34.26,34.45,34.12,34.12,34.66,34.5,34.75
United Kingdom,32.53,33.4,32.76,32.57,31.82,32.16,32.73,32.83,32.89,32.72,32.77
Czech Republic,32.55,33.26,33.68,34.08,33.1,33.35,34.24,34.44,34.98,34.78,34.38
Slovakia,28.06,28.61,28.34,30.24,31.12,32.18,32.34,34.22,34.2,34.57,34.75
Sweden,43.22,42.51,42.56,42.91,42.58,43.08,44.21,44.31,43.77,42.83,42.6
Switzerland,26.46,27.01,26.79,26.88,26.88,27.6,27.71,28.42,26.81,27.36,27.59
Turkey,26.2,27.83,24.95,25.35,24.58,25.09,25.3,24.68,23.98,23.1,23.86
Average OECD,32.57,32.95,33.3,33.61,33.6,33.72,34.42,33.74,33.49,33.42,33.51
